[harness] node=holy7c04202.rc.fas.harvard.edu  rubric=r6  judge=gpt-5.4-mini
[harness] prefixes=/n/netscratch/dam_lab/Lab/sqin/verl_runs/colbench_simtrain/base_partner/prefixes.train.fence.c1.jsonl
[harness] candidates=/n/netscratch/dam_lab/Lab/sqin/verl_runs/colbench_simtrain/base_partner/candidates.train.fence.c1.jsonl
[harness] -> /n/netscratch/dam_lab/Lab/sqin/verl_runs/colbench_simtrain/base_partner/judged.train.fence.c1.r6.jsonl
[harness] max_prefixes=0 (0 = all)  cap=$20 per pass  tier=default
[harness] === pass 1/3 (rows on disk: 5000) ===
[judge_candidates] rubric=r6 harness=h2 judge=gpt-5.4-mini
[judge_candidates] 12819 prefixes in scope, 5000 already judged, 7819 to judge -> /n/netscratch/dam_lab/Lab/sqin/verl_runs/colbench_simtrain/base_partner/judged.train.fence.c1.r6.jsonl
[judge_candidates] 20/7819 judged (20 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.03) in 12s
[judge_candidates] 40/7819 judged (40 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.06) in 15s
[judge_candidates] 60/7819 judged (60 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.10) in 18s
[judge_candidates] 80/7819 judged (80 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.13) in 21s
[judge_candidates] 100/7819 judged (100 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.16) in 23s
[judge_candidates] 120/7819 judged (120 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.19) in 26s
[judge_candidates] 140/7819 judged (140 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.23) in 29s
[judge_candidates] 160/7819 judged (160 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.26) in 32s
[judge_candidates] 180/7819 judged (180 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.28) in 34s
[judge_candidates] 200/7819 judged (200 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.31) in 37s
[judge_candidates] 220/7819 judged (220 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.34) in 39s
[judge_candidates] 240/7819 judged (240 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.37) in 42s
[judge_candidates] 260/7819 judged (260 parsed ok, 0 needed a temp-0 retry, 0 deferred, $0.40) in 45s
[judge_candidates] 280/7819 judged (279 parsed ok, 1 needed a temp-0 retry, 0 deferred, $0.44) in 47s
[judge_candidates] 300/7819 judged (299 parsed ok, 1 needed a temp-0 retry, 0 deferred, $0.47) in 51s
[judge_candidates] 320/7819 judged (319 parsed ok, 1 needed a temp-0 retry, 0 deferred, $0.51) in 54s
[judge_candidates] 340/7819 judged (339 parsed ok, 1 needed a temp-0 retry, 0 deferred, $0.54) in 56s
[judge_candidates] 360/7819 judged (359 parsed ok, 1 needed a temp-0 retry, 0 deferred, $0.57) in 59s
[judge_candidates] 380/7819 judged (379 parsed ok, 1 needed a temp-0 retry, 0 deferred, $0.60) in 61s
[judge_candidates] 400/7819 judged (398 parsed ok, 2 needed a temp-0 retry, 0 deferred, $0.62) in 63s
[judge_candidates] 420/7819 judged (418 parsed ok, 2 needed a temp-0 retry, 0 deferred, $0.66) in 67s
[judge_candidates] 440/7819 judged (438 parsed ok, 2 needed a temp-0 retry, 0 deferred, $0.70) in 70s
[judge_candidates] 460/7819 judged (458 parsed ok, 2 needed a temp-0 retry, 0 deferred, $0.73) in 72s
[judge_candidates] 480/7819 judged (478 parsed ok, 2 needed a temp-0 retry, 0 deferred, $0.76) in 75s
[judge_candidates] 500/7819 judged (498 parsed ok, 3 needed a temp-0 retry, 0 deferred, $0.80) in 78s
[judge_candidates] 520/7819 judged (518 parsed ok, 4 needed a temp-0 retry, 0 deferred, $0.83) in 81s
[judge_candidates] 540/7819 judged (538 parsed ok, 4 needed a temp-0 retry, 0 deferred, $0.86) in 84s
[judge_candidates] 560/7819 judged (558 parsed ok, 4 needed a temp-0 retry, 0 deferred, $0.90) in 87s
[judge_candidates] 580/7819 judged (578 parsed ok, 4 needed a temp-0 retry, 0 deferred, $0.93) in 90s
[judge_candidates] 600/7819 judged (598 parsed ok, 4 needed a temp-0 retry, 0 deferred, $0.96) in 93s
[judge_candidates] 620/7819 judged (618 parsed ok, 4 needed a temp-0 retry, 0 deferred, $1.00) in 96s
[judge_candidates] 640/7819 judged (638 parsed ok, 4 needed a temp-0 retry, 0 deferred, $1.02) in 98s
